id,content,metadata,embedding
1,Serviços de informática e congêneres.,"{""codigo_item"":""1"",""fonte_legal"":""Lei Complementar 116/2003""}",
1.01,Análise e desenvolvimento de sistemas.,"{""codigo_item"":""1.01"",""fonte_legal"":""Lei Complementar 116/2003""}",
1.02,Programação.,"{""codigo_item"":""1.02"",""fonte_legal"":""Lei Complementar 116/2003""}",
1.03,Processamento de dados e congêneres.,"{""codigo_item"":""1.03"",""fonte_legal"":""Lei Complementar 116/2003""}",
1.04,"Elaboração de programas de computadores, inclusive de jogos eletrônicos.","{""codigo_item"":""1.04"",""fonte_legal"":""Lei Complementar 116/2003""}",
1.05,Licenciamento ou cessão de direito de uso de programas de computação.,"{""codigo_item"":""1.05"",""fonte_legal"":""Lei Complementar 116/2003""}",
1.06,Assessoria e consultoria em informática.,"{""codigo_item"":""1.06"",""fonte_legal"":""Lei Complementar 116/2003""}",
1.07,"Suporte técnico em informática, inclusive instalação, configuração e manutenção de programas de computação e bancos de dados.","{""codigo_item"":""1.07"",""fonte_legal"":""Lei Complementar 116/2003""}",
1.08,"Planejamento, confecção, manutenção e atualização de páginas eletrônicas.","{""codigo_item"":""1.08"",""fonte_legal"":""Lei Complementar 116/2003""}",
10,Serviços de intermediação e congêneres.,"{""codigo_item"":""10"",""fonte_legal"":""Lei Complementar 116/2003""}",
10.01,"Agenciamento, corretagem ou intermediação de câmbio, de seguros, de cartões de crédito, de planos de saúde e de planos de previdência privada.","{""codigo_item"":""10.01"",""fonte_legal"":""Lei Complementar 116/2003""}",
10.02,"Agenciamento, corretagem ou intermediação de títulos em geral, valores mobiliários e contratos quaisquer.","{""codigo_item"":""10.02"",""fonte_legal"":""Lei Complementar 116/2003""}",
10.03,"Agenciamento, corretagem ou intermediação de direitos de propriedade industrial, artística ou literária.","{""codigo_item"":""10.03"",""fonte_legal"":""Lei Complementar 116/2003""}",
10.04,"Agenciamento, corretagem ou intermediação de contratos de arrendamento mercantil (leasing), de franquia (franchising) e de faturização (factoring).","{""codigo_item"":""10.04"",""fonte_legal"":""Lei Complementar 116/2003""}",
10.05,"Agenciamento, corretagem ou intermediação de bens móveis ou imóveis, não abrangidos em outros itens ou subitens, inclusive aqueles realizados no âmbito de Bolsas de Mercadorias e Futuros, por quaisquer meios.","{""codigo_item"":""10.05"",""fonte_legal"":""Lei Complementar 116/2003""}",
10.06,Agenciamento marítimo.,"{""codigo_item"":""10.06"",""fonte_legal"":""Lei Complementar 116/2003""}",
10.07,Agenciamento de noticias.,"{""codigo_item"":""10.07"",""fonte_legal"":""Lei Complementar 116/2003""}",
10.08,"Agenciamento de publicidade e propaganda, inclusive o agenciamento de veiculação por quaisquer meios.","{""codigo_item"":""10.08"",""fonte_legal"":""Lei Complementar 116/2003""}",
10.09,"Representação de qualquer natureza, inclusive comercial.","{""codigo_item"":""10.09"",""fonte_legal"":""Lei Complementar 116/2003""}",
10.10,Distribuição de bens de terceiros.,"{""codigo_item"":""10.10"",""fonte_legal"":""Lei Complementar 116/2003""}",
11,"Serviços de guarda, estacionamento, armazenamento, vigilância e congêneres.","{""codigo_item"":""11"",""fonte_legal"":""Lei Complementar 116/2003""}",
11.01,"Guarda e estacionamento de veículos terrestres automotores, de aeronaves e de embarcações.","{""codigo_item"":""11.01"",""fonte_legal"":""Lei Complementar 116/2003""}",
11.02,"Vigilância, segurança ou monitoramento de bens e pessoas.","{""codigo_item"":""11.02"",""fonte_legal"":""Lei Complementar 116/2003""}",
11.03,"Escolta, inclusive de veículos e cargas.","{""codigo_item"":""11.03"",""fonte_legal"":""Lei Complementar 116/2003""}",
11.04,"Armazenamento, depósito, carga, descarga, arrumação e guarda de bens de qualquer espécie.","{""codigo_item"":""11.04"",""fonte_legal"":""Lei Complementar 116/2003""}",
12,"Serviços de diversões, lazer, entretenimento e congêneres.","{""codigo_item"":""12"",""fonte_legal"":""Lei Complementar 116/2003""}",
12.01,Espetáculos teatrais.,"{""codigo_item"":""12.01"",""fonte_legal"":""Lei Complementar 116/2003""}",
12.02,Exibições cinematográficas.,"{""codigo_item"":""12.02"",""fonte_legal"":""Lei Complementar 116/2003""}",
12.03,Espetáculos circenses.,"{""codigo_item"":""12.03"",""fonte_legal"":""Lei Complementar 116/2003""}",
12.04,Programas de auditório.,"{""codigo_item"":""12.04"",""fonte_legal"":""Lei Complementar 116/2003""}",
12.05,"Parques de diversões, centros de lazer e congêneres.","{""codigo_item"":""12.05"",""fonte_legal"":""Lei Complementar 116/2003""}",
12.06,"Boates, taxi-dancing e congêneres.","{""codigo_item"":""12.06"",""fonte_legal"":""Lei Complementar 116/2003""}",
12.07,"Shows, ballet, danças, desfiles, bailes, óperas, concertos, recitais, festivais e congêneres.","{""codigo_item"":""12.07"",""fonte_legal"":""Lei Complementar 116/2003""}",
12.08,"Feiras, exposições, congressos e congêneres.","{""codigo_item"":""12.08"",""fonte_legal"":""Lei Complementar 116/2003""}",
12.09,"Bilhares, boliches e diversões eletrônicas ou não.","{""codigo_item"":""12.09"",""fonte_legal"":""Lei Complementar 116/2003""}",
12.10,Corridas e competições de animais.,"{""codigo_item"":""12.10"",""fonte_legal"":""Lei Complementar 116/2003""}",
12.11,"Competições esportivas ou de destreza física ou intelectual, com ou sem a participação do espectador.","{""codigo_item"":""12.11"",""fonte_legal"":""Lei Complementar 116/2003""}",
12.12,Execução de música.,"{""codigo_item"":""12.12"",""fonte_legal"":""Lei Complementar 116/2003""}",
12.13,"Produção, mediante ou sem encomenda prévia, de eventos, espetáculos, entrevistas, shows, ballet, danças, desfiles, bailes, teatros, óperas, concertos, recitais, festivais e congêneres.","{""codigo_item"":""12.13"",""fonte_legal"":""Lei Complementar 116/2003""}",
12.14,"Fornecimento de música para ambientes fechados ou não, mediante transmissão por qualquer processo.","{""codigo_item"":""12.14"",""fonte_legal"":""Lei Complementar 116/2003""}",
12.15,"Desfiles de blocos carnavalescos ou folclóricos, trios elétricos e congêneres.","{""codigo_item"":""12.15"",""fonte_legal"":""Lei Complementar 116/2003""}",
12.16,"Exibição de filmes, entrevistas, musicais, espetáculos, shows, concertos, desfiles, óperas, competições esportivas, de destreza intelectual ou congêneres.","{""codigo_item"":""12.16"",""fonte_legal"":""Lei Complementar 116/2003""}",
12.17,"Recreação e animação, inclusive em festas e eventos de qualquer natureza.","{""codigo_item"":""12.17"",""fonte_legal"":""Lei Complementar 116/2003""}",
13,"Serviços relativos a fonografia, fotografia, cinematografia e reprografia.","{""codigo_item"":""13"",""fonte_legal"":""Lei Complementar 116/2003""}",
13.02,"Fonografia ou gravação de sons, inclusive trucagem, dublagem, mixagem e congêneres.","{""codigo_item"":""13.02"",""fonte_legal"":""Lei Complementar 116/2003""}",
13.03,"Fotografia e cinematografia, inclusive revelação, ampliação, cópia, reprodução, trucagem e congêneres.","{""codigo_item"":""13.03"",""fonte_legal"":""Lei Complementar 116/2003""}",
13.04,"Reprografia, microfilmagem e digitalização.","{""codigo_item"":""13.04"",""fonte_legal"":""Lei Complementar 116/2003""}",
13.05,"Composição gráfica, fotocomposição, clicheria, zincografia, litografia, fotolitografia.","{""codigo_item"":""13.05"",""fonte_legal"":""Lei Complementar 116/2003""}",
14,Serviços relativos a bens de terceiros.,"{""codigo_item"":""14"",""fonte_legal"":""Lei Complementar 116/2003""}",
14.01,"Lubrificação, limpeza, lustração, revisão, carga e recarga, conserto, restauração, blindagem, manutenção e conservação de máquinas, veículos, aparelhos, equipamentos, motores, elevadores ou de qualquer objeto (exceto peças e partes empregadas, que ficam sujeitas ao ICMS).","{""codigo_item"":""14.01"",""fonte_legal"":""Lei Complementar 116/2003""}",
14.02,Assistência técnica.,"{""codigo_item"":""14.02"",""fonte_legal"":""Lei Complementar 116/2003""}",
14.03,"Recondicionamento de motores (exceto peças e partes empregadas, que ficam sujeitas ao ICMS).","{""codigo_item"":""14.03"",""fonte_legal"":""Lei Complementar 116/2003""}",
14.04,Recauchutagem ou regeneração de pneus.,"{""codigo_item"":""14.04"",""fonte_legal"":""Lei Complementar 116/2003""}",
14.05,"Restauração, recondicionamento, acondicionamento, pintura, beneficiamento, lavagem, secagem, tingimento, galvanoplastia, anodização, corte, recorte, polimento, plastificação e congêneres, de objetos quaisquer.","{""codigo_item"":""14.05"",""fonte_legal"":""Lei Complementar 116/2003""}",
14.06,"Instalação e montagem de aparelhos, máquinas e equipamentos, inclusive montagem industrial, prestados ao usuário final, exclusivamente com material por ele fornecido.","{""codigo_item"":""14.06"",""fonte_legal"":""Lei Complementar 116/2003""}",
14.07,Colocação de molduras e congêneres.,"{""codigo_item"":""14.07"",""fonte_legal"":""Lei Complementar 116/2003""}",
14.08,"Encadernação, gravação e douração de livros, revistas e congêneres.","{""codigo_item"":""14.08"",""fonte_legal"":""Lei Complementar 116/2003""}",
14.09,"Alfaiataria e costura, quando o material for fornecido pelo usuário final, exceto aviamento.","{""codigo_item"":""14.09"",""fonte_legal"":""Lei Complementar 116/2003""}",
14.10,Tinturaria e lavanderia.,"{""codigo_item"":""14.10"",""fonte_legal"":""Lei Complementar 116/2003""}",
14.11,Tapeçaria e reforma de estofamentos em geral.,"{""codigo_item"":""14.11"",""fonte_legal"":""Lei Complementar 116/2003""}",
14.12,Funilaria e lanternagem.,"{""codigo_item"":""14.12"",""fonte_legal"":""Lei Complementar 116/2003""}",
14.13,Carpintaria e serralheria.,"{""codigo_item"":""14.13"",""fonte_legal"":""Lei Complementar 116/2003""}",
15,"Serviços relacionados ao setor bancário ou financeiro, inclusive aqueles prestados por instituições financeiras autorizadas a funcionar pela União ou por quem de direito.","{""codigo_item"":""15"",""fonte_legal"":""Lei Complementar 116/2003""}",
15.01,"Administração de fundos quaisquer, de consórcio, de cartão de crédito ou débito e congêneres, de carteira de clientes, de cheques pré-datados e congêneres.","{""codigo_item"":""15.01"",""fonte_legal"":""Lei Complementar 116/2003""}",
15.02,"Abertura de contas em geral, inclusive conta-corrente, conta de investimentos e aplicação e caderneta de poupança, no País e no exterior, bem como a manutenção das referidas contas ativas e inativas.","{""codigo_item"":""15.02"",""fonte_legal"":""Lei Complementar 116/2003""}",
15.03,"Locação e manutenção de cofres particulares, de terminais eletrônicos, de terminais de atendimento e de bens e equipamentos em geral.","{""codigo_item"":""15.03"",""fonte_legal"":""Lei Complementar 116/2003""}",
15.04,"Fornecimento ou emissão de atestados em geral, inclusive atestado de idoneidade, atestado de capacidade financeira e congêneres.","{""codigo_item"":""15.04"",""fonte_legal"":""Lei Complementar 116/2003""}",
